gene1	gene2	pathway	interaction	type
315	CALML4	ADCY3	hsa04024	--gt	P
317	CALML4	ADCY6	hsa04024	--gt	P
318	CALML4	ADCY7	hsa04024	--gt	P
320	CALML4	ADCY9	hsa04024	--gt	P
321	CALML4	ADCY4	hsa04024	--gt	P
322	GNAI1	ADCY1	hsa04024	--|	N
323	GNAI1	ADCY2	hsa04024	--|	N
324	GNAI1	ADCY3	hsa04024	--|	N
326	GNAI1	ADCY6	hsa04024	--|	N
327	GNAI1	ADCY7	hsa04024	--|	N
329	GNAI1	ADCY9	hsa04024	--|	N
330	GNAI1	ADCY4	hsa04024	--|	N
331	GNAI2	ADCY1	hsa04024	--|	N
332	GNAI2	ADCY2	hsa04024	--|	N
333	GNAI2	ADCY3	hsa04024	--|	N
335	GNAI2	ADCY6	hsa04024	--|	N
336	GNAI2	ADCY7	hsa04024	--|	N
338	GNAI2	ADCY9	hsa04024	--|	N
339	GNAI2	ADCY4	hsa04024	--|	N
340	GNAI3	ADCY1	hsa04024	--|	N
341	GNAI3	ADCY2	hsa04024	--|	N
342	GNAI3	ADCY3	hsa04024	--|	N
344	GNAI3	ADCY6	hsa04024	--|	N
345	GNAI3	ADCY7	hsa04024	--|	N
347	GNAI3	ADCY9	hsa04024	--|	N
348	GNAI3	ADCY4	hsa04024	--|	N
349	CAMK4	ADCY1	hsa04024	--|	N
350	CAMK4	ADCY2	hsa04024	--|	N
351	CAMK4	ADCY3	hsa04024	--|	N
353	CAMK4	ADCY6	hsa04024	--|	N
354	CAMK4	ADCY7	hsa04024	--|	N
356	CAMK4	ADCY9	hsa04024	--|	N
357	CAMK4	ADCY4	hsa04024	--|	N
358	CAMK2A	ADCY1	hsa04024	--|	N
359	CAMK2A	ADCY2	hsa04024	--|	N
360	CAMK2A	ADCY3	hsa04024	--|	N
362	CAMK2A	ADCY6	hsa04024	--|	N
363	CAMK2A	ADCY7	hsa04024	--|	N
365	CAMK2A	ADCY9	hsa04024	--|	N
366	CAMK2A	ADCY4	hsa04024	--|	N
367	CAMK2B	ADCY1	hsa04024	--|	N
368	CAMK2B	ADCY2	hsa04024	--|	N
369	CAMK2B	ADCY3	hsa04024	--|	N
371	CAMK2B	ADCY6	hsa04024	--|	N
372	CAMK2B	ADCY7	hsa04024	--|	N
374	CAMK2B	ADCY9	hsa04024	--|	N
375	CAMK2B	ADCY4	hsa04024	--|	N
376	CAMK2D	ADCY1	hsa04024	--|	N
377	CAMK2D	ADCY2	hsa04024	--|	N
378	CAMK2D	ADCY3	hsa04024	--|	N
380	CAMK2D	ADCY6	hsa04024	--|	N
381	CAMK2D	ADCY7	hsa04024	--|	N
383	CAMK2D	ADCY9	hsa04024	--|	N
384	CAMK2D	ADCY4	hsa04024	--|	N
385	CAMK2G	ADCY1	hsa04024	--|	N
386	CAMK2G	ADCY2	hsa04024	--|	N
387	CAMK2G	ADCY3	hsa04024	--|	N
389	CAMK2G	ADCY6	hsa04024	--|	N
390	CAMK2G	ADCY7	hsa04024	--|	N
392	CAMK2G	ADCY9	hsa04024	--|	N
393	CAMK2G	ADCY4	hsa04024	--|	N
394	PPP1R1B	PPP1CA	hsa04024	--|	N
395	PPP1R1B	PPP1CB	hsa04024	--|	N
396	PPP1R1B	PPP1CC	hsa04024	--|	N
397	PPP1CA	CREB3	hsa04024	--|	N
398	PPP1CA	CREB1	hsa04024	--|	N
399	PPP1CA	CREB3L4	hsa04024	--|	N
400	PPP1CA	CREB3L2	hsa04024	--|	N
402	PPP1CA	CREB3L1	hsa04024	--|	N
403	PPP1CA	CREB5	hsa04024	--|	N
404	PPP1CB	CREB3	hsa04024	--|	N
405	PPP1CB	CREB1	hsa04024	--|	N
406	PPP1CB	CREB3L4	hsa04024	--|	N
407	PPP1CB	CREB3L2	hsa04024	--|	N
409	PPP1CB	CREB3L1	hsa04024	--|	N
410	PPP1CB	CREB5	hsa04024	--|	N
411	PPP1CC	CREB3	hsa04024	--|	N
412	PPP1CC	CREB1	hsa04024	--|	N
413	PPP1CC	CREB3L4	hsa04024	--|	N
414	PPP1CC	CREB3L2	hsa04024	--|	N
416	PPP1CC	CREB3L1	hsa04024	--|	N
417	PPP1CC	CREB5	hsa04024	--|	N
418	PRKACA	BAD	hsa04024	--|	N
419	PRKACB	BAD	hsa04024	--|	N
420	PRKACG	BAD	hsa04024	--|	N
421	PRKACA	RHOA	hsa04024	--|	N
422	PRKACB	RHOA	hsa04024	--|	N
423	PRKACG	RHOA	hsa04024	--|	N
424	ROCK1	PPP1R12A	hsa04024	--|	N
425	ROCK2	PPP1R12A	hsa04024	--|	N
426	RAF1	MAP2K1	hsa04024	--gt	P
427	RAF1	MAP2K2	hsa04024	--gt	P
428	MAP2K1	MAPK1	hsa04024	--gt	P
429	MAP2K1	MAPK3	hsa04024	--gt	P
430	MAP2K2	MAPK1	hsa04024	--gt	P
431	MAP2K2	MAPK3	hsa04024	--gt	P
432	MAPK1	CREB3	hsa04024	--gt	P
433	MAPK1	CREB1	hsa04024	--gt	P
434	MAPK1	CREB3L4	hsa04024	--gt	P
435	MAPK1	CREB3L2	hsa04024	--gt	P
437	MAPK1	CREB3L1	hsa04024	--gt	P
438	MAPK1	CREB5	hsa04024	--gt	P
439	MAPK3	CREB3	hsa04024	--gt	P
440	MAPK3	CREB1	hsa04024	--gt	P
441	MAPK3	CREB3L4	hsa04024	--gt	P
442	MAPK3	CREB3L2	hsa04024	--gt	P
444	MAPK3	CREB3L1	hsa04024	--gt	P
445	MAPK3	CREB5	hsa04024	--gt	P
446	PRKACA	PPP1R1B	hsa04024	--gt	P
447	PRKACB	PPP1R1B	hsa04024	--gt	P
448	PRKACG	PPP1R1B	hsa04024	--gt	P
449	PRKACA	PPARA	hsa04024	--gt	P
450	PRKACB	PPARA	hsa04024	--gt	P
451	PRKACG	PPARA	hsa04024	--gt	P
452	PRKACA	NFATC1	hsa04024	--|	N
453	PRKACB	NFATC1	hsa04024	--|	N
454	PRKACG	NFATC1	hsa04024	--|	N
455	PPP1R12A	MYL9	hsa04024	--|	N
456	PRKACA	PLN	hsa04024	--gt	P
457	PRKACB	PLN	hsa04024	--gt	P
458	PRKACG	PLN	hsa04024	--gt	P
459	PRKACA	RYR2	hsa04024	--gt	P
460	PRKACB	RYR2	hsa04024	--gt	P
461	PRKACG	RYR2	hsa04024	--gt	P
462	PRKACA	GRIN3A	hsa04024	--gt	P
463	PRKACA	GRIN3B	hsa04024	--gt	P
464	PRKACA	GRIN1	hsa04024	--gt	P
465	PRKACA	GRIN2A	hsa04024	--gt	P
467	PRKACA	GRIN2C	hsa04024	--gt	P
468	PRKACA	GRIN2D	hsa04024	--gt	P
469	PRKACB	GRIN3A	hsa04024	--gt	P
470	PRKACB	GRIN3B	hsa04024	--gt	P
471	PRKACB	GRIN1	hsa04024	--gt	P
472	PRKACB	GRIN2A	hsa04024	--gt	P
474	PRKACB	GRIN2C	hsa04024	--gt	P
475	PRKACB	GRIN2D	hsa04024	--gt	P
476	PRKACG	GRIN3A	hsa04024	--gt	P
477	PRKACG	GRIN3B	hsa04024	--gt	P
478	PRKACG	GRIN1	hsa04024	--gt	P
479	PRKACG	GRIN2A	hsa04024	--gt	P
481	PRKACG	GRIN2C	hsa04024	--gt	P
482	PRKACG	GRIN2D	hsa04024	--gt	P
484	PRKACA	GRIA2	hsa04024	--gt	P
485	PRKACA	GRIA3	hsa04024	--gt	P
488	PRKACB	GRIA2	hsa04024	--gt	P
489	PRKACB	GRIA3	hsa04024	--gt	P
492	PRKACG	GRIA2	hsa04024	--gt	P
493	PRKACG	GRIA3	hsa04024	--gt	P
498	PRKACA	FXYD1	hsa04024	--gt	P
499	PRKACB	FXYD1	hsa04024	--gt	P
500	PRKACG	FXYD1	hsa04024	--gt	P
501	PRKACA	SLC9A1	hsa04024	--gt	P
502	PRKACB	SLC9A1	hsa04024	--gt	P
503	PRKACG	SLC9A1	hsa04024	--gt	P
504	PRKACA	ATP2B1	hsa04024	--gt	P
505	PRKACA	ATP2B2	hsa04024	--gt	P
506	PRKACA	ATP2B3	hsa04024	--gt	P
507	PRKACA	ATP2B4	hsa04024	--gt	P
508	PRKACB	ATP2B1	hsa04024	--gt	P
509	PRKACB	ATP2B2	hsa04024	--gt	P
510	PRKACB	ATP2B3	hsa04024	--gt	P
511	PRKACB	ATP2B4	hsa04024	--gt	P
512	PRKACG	ATP2B1	hsa04024	--gt	P
513	PRKACG	ATP2B2	hsa04024	--gt	P
514	PRKACG	ATP2B3	hsa04024	--gt	P
515	PRKACG	ATP2B4	hsa04024	--gt	P
516	PRKACA	CACNA1C	hsa04024	--gt	P
517	PRKACA	CACNA1D	hsa04024	--gt	P
518	PRKACA	CACNA1F	hsa04024	--gt	P
520	PRKACB	CACNA1C	hsa04024	--gt	P
521	PRKACB	CACNA1D	hsa04024	--gt	P
