gene1	gene2	pathway	interaction
CALML4	ADCY3	hsa04024	--gt
CALML4	ADCY5	hsa04024	--gt
CALML4	ADCY6	hsa04024	--gt
CALML4	ADCY7	hsa04024	--gt
CALML4	ADCY8	hsa04024	--gt
CALML4	ADCY9	hsa04024	--gt
CALML4	ADCY4	hsa04024	--gt
GNAI1	ADCY1	hsa04024	--|
GNAI1	ADCY2	hsa04024	--|
GNAI1	ADCY3	hsa04024	--|
GNAI1	ADCY5	hsa04024	--|
GNAI1	ADCY6	hsa04024	--|
GNAI1	ADCY7	hsa04024	--|
GNAI1	ADCY8	hsa04024	--|
GNAI1	ADCY9	hsa04024	--|
GNAI1	ADCY4	hsa04024	--|
GNAI2	ADCY1	hsa04024	--|
GNAI2	ADCY2	hsa04024	--|
GNAI2	ADCY3	hsa04024	--|
GNAI2	ADCY5	hsa04024	--|
GNAI2	ADCY6	hsa04024	--|
GNAI2	ADCY7	hsa04024	--|
GNAI2	ADCY8	hsa04024	--|
GNAI2	ADCY9	hsa04024	--|
GNAI2	ADCY4	hsa04024	--|
GNAI3	ADCY1	hsa04024	--|
GNAI3	ADCY2	hsa04024	--|
GNAI3	ADCY3	hsa04024	--|
GNAI3	ADCY5	hsa04024	--|
GNAI3	ADCY6	hsa04024	--|
GNAI3	ADCY7	hsa04024	--|
GNAI3	ADCY8	hsa04024	--|
GNAI3	ADCY9	hsa04024	--|
GNAI3	ADCY4	hsa04024	--|
CAMK4	ADCY1	hsa04024	--|
CAMK4	ADCY2	hsa04024	--|
CAMK4	ADCY3	hsa04024	--|
CAMK4	ADCY5	hsa04024	--|
CAMK4	ADCY6	hsa04024	--|
CAMK4	ADCY7	hsa04024	--|
CAMK4	ADCY8	hsa04024	--|
CAMK4	ADCY9	hsa04024	--|
CAMK4	ADCY4	hsa04024	--|
CAMK2A	ADCY1	hsa04024	--|
CAMK2A	ADCY2	hsa04024	--|
CAMK2A	ADCY3	hsa04024	--|
CAMK2A	ADCY5	hsa04024	--|
CAMK2A	ADCY6	hsa04024	--|
CAMK2A	ADCY7	hsa04024	--|
CAMK2A	ADCY8	hsa04024	--|
CAMK2A	ADCY9	hsa04024	--|
CAMK2A	ADCY4	hsa04024	--|
CAMK2B	ADCY1	hsa04024	--|
CAMK2B	ADCY2	hsa04024	--|
CAMK2B	ADCY3	hsa04024	--|
CAMK2B	ADCY5	hsa04024	--|
CAMK2B	ADCY6	hsa04024	--|
CAMK2B	ADCY7	hsa04024	--|
CAMK2B	ADCY8	hsa04024	--|
CAMK2B	ADCY9	hsa04024	--|
CAMK2B	ADCY4	hsa04024	--|
CAMK2D	ADCY1	hsa04024	--|
CAMK2D	ADCY2	hsa04024	--|
CAMK2D	ADCY3	hsa04024	--|
CAMK2D	ADCY5	hsa04024	--|
CAMK2D	ADCY6	hsa04024	--|
CAMK2D	ADCY7	hsa04024	--|
CAMK2D	ADCY8	hsa04024	--|
CAMK2D	ADCY9	hsa04024	--|
CAMK2D	ADCY4	hsa04024	--|
CAMK2G	ADCY1	hsa04024	--|
CAMK2G	ADCY2	hsa04024	--|
CAMK2G	ADCY3	hsa04024	--|
CAMK2G	ADCY5	hsa04024	--|
CAMK2G	ADCY6	hsa04024	--|
CAMK2G	ADCY7	hsa04024	--|
CAMK2G	ADCY8	hsa04024	--|
CAMK2G	ADCY9	hsa04024	--|
CAMK2G	ADCY4	hsa04024	--|
PPP1R1B	PPP1CA	hsa04024	--|
PPP1R1B	PPP1CB	hsa04024	--|
PPP1R1B	PPP1CC	hsa04024	--|
PPP1CA	CREB3	hsa04024	--|
PPP1CA	CREB1	hsa04024	--|
PPP1CA	CREB3L4	hsa04024	--|
PPP1CA	CREB3L2	hsa04024	--|
PPP1CA	CREB3L3	hsa04024	--|
PPP1CA	CREB3L1	hsa04024	--|
PPP1CA	CREB5	hsa04024	--|
PPP1CB	CREB3	hsa04024	--|
PPP1CB	CREB1	hsa04024	--|
PPP1CB	CREB3L4	hsa04024	--|
PPP1CB	CREB3L2	hsa04024	--|
PPP1CB	CREB3L3	hsa04024	--|
PPP1CB	CREB3L1	hsa04024	--|
PPP1CB	CREB5	hsa04024	--|
PPP1CC	CREB3	hsa04024	--|
PPP1CC	CREB1	hsa04024	--|
PPP1CC	CREB3L4	hsa04024	--|
PPP1CC	CREB3L2	hsa04024	--|
PPP1CC	CREB3L3	hsa04024	--|
PPP1CC	CREB3L1	hsa04024	--|
PPP1CC	CREB5	hsa04024	--|
PRKACA	BAD	hsa04024	--|
PRKACB	BAD	hsa04024	--|
PRKACG	BAD	hsa04024	--|
PRKACA	RHOA	hsa04024	--|
PRKACB	RHOA	hsa04024	--|
PRKACG	RHOA	hsa04024	--|
ROCK1	PPP1R12A	hsa04024	--|
ROCK2	PPP1R12A	hsa04024	--|
RAF1	MAP2K1	hsa04024	--gt
RAF1	MAP2K2	hsa04024	--gt
MAP2K1	MAPK1	hsa04024	--gt
MAP2K1	MAPK3	hsa04024	--gt
MAP2K2	MAPK1	hsa04024	--gt
MAP2K2	MAPK3	hsa04024	--gt
MAPK1	CREB3	hsa04024	--gt
MAPK1	CREB1	hsa04024	--gt
MAPK1	CREB3L4	hsa04024	--gt
MAPK1	CREB3L2	hsa04024	--gt
MAPK1	CREB3L3	hsa04024	--gt
MAPK1	CREB3L1	hsa04024	--gt
MAPK1	CREB5	hsa04024	--gt
MAPK3	CREB3	hsa04024	--gt
MAPK3	CREB1	hsa04024	--gt
MAPK3	CREB3L4	hsa04024	--gt
MAPK3	CREB3L2	hsa04024	--gt
MAPK3	CREB3L3	hsa04024	--gt
MAPK3	CREB3L1	hsa04024	--gt
MAPK3	CREB5	hsa04024	--gt
PRKACA	PPP1R1B	hsa04024	--gt
PRKACB	PPP1R1B	hsa04024	--gt
PRKACG	PPP1R1B	hsa04024	--gt
PRKACA	PPARA	hsa04024	--gt
PRKACB	PPARA	hsa04024	--gt
PRKACG	PPARA	hsa04024	--gt
PRKACA	NFATC1	hsa04024	--|
PRKACB	NFATC1	hsa04024	--|
PRKACG	NFATC1	hsa04024	--|
PPP1R12A	MYL9	hsa04024	--|
PRKACA	PLN	hsa04024	--gt
PRKACB	PLN	hsa04024	--gt
PRKACG	PLN	hsa04024	--gt
PRKACA	RYR2	hsa04024	--gt
PRKACB	RYR2	hsa04024	--gt
PRKACG	RYR2	hsa04024	--gt
PRKACA	GRIN3A	hsa04024	--gt
PRKACA	GRIN3B	hsa04024	--gt
