gene1	gene2	pathway	interaction	type
CALM3	ADCY6	hsa04024	--gt	P
CALM3	ADCY7	hsa04024	--gt	P
CALM3	ADCY8	hsa04024	--gt	P
CALM3	ADCY9	hsa04024	--gt	P
CALM3	ADCY4	hsa04024	--gt	P
CALML3	ADCY1	hsa04024	--gt	P
CALML3	ADCY2	hsa04024	--gt	P
CALML3	ADCY3	hsa04024	--gt	P
CALML3	ADCY5	hsa04024	--gt	P
CALML3	ADCY6	hsa04024	--gt	P
CALML3	ADCY7	hsa04024	--gt	P
CALML3	ADCY8	hsa04024	--gt	P
CALML3	ADCY9	hsa04024	--gt	P
CALML3	ADCY4	hsa04024	--gt	P
CALML4	ADCY1	hsa04024	--gt	P
CALML4	ADCY2	hsa04024	--gt	P
CALML4	ADCY3	hsa04024	--gt	P
CALML4	ADCY5	hsa04024	--gt	P
CALML4	ADCY6	hsa04024	--gt	P
CALML4	ADCY7	hsa04024	--gt	P
CALML4	ADCY8	hsa04024	--gt	P
CALML4	ADCY9	hsa04024	--gt	P
CALML4	ADCY4	hsa04024	--gt	P
GNAI1	ADCY1	hsa04024	--|	N
GNAI1	ADCY2	hsa04024	--|	N
GNAI1	ADCY3	hsa04024	--|	N
GNAI1	ADCY5	hsa04024	--|	N
GNAI1	ADCY6	hsa04024	--|	N
GNAI1	ADCY7	hsa04024	--|	N
GNAI1	ADCY8	hsa04024	--|	N
GNAI1	ADCY9	hsa04024	--|	N
GNAI1	ADCY4	hsa04024	--|	N
GNAI2	ADCY1	hsa04024	--|	N
GNAI2	ADCY2	hsa04024	--|	N
GNAI2	ADCY3	hsa04024	--|	N
GNAI2	ADCY5	hsa04024	--|	N
GNAI2	ADCY6	hsa04024	--|	N
GNAI2	ADCY7	hsa04024	--|	N
GNAI2	ADCY8	hsa04024	--|	N
GNAI2	ADCY9	hsa04024	--|	N
GNAI2	ADCY4	hsa04024	--|	N
GNAI3	ADCY1	hsa04024	--|	N
GNAI3	ADCY2	hsa04024	--|	N
GNAI3	ADCY3	hsa04024	--|	N
GNAI3	ADCY5	hsa04024	--|	N
GNAI3	ADCY6	hsa04024	--|	N
GNAI3	ADCY7	hsa04024	--|	N
GNAI3	ADCY8	hsa04024	--|	N
GNAI3	ADCY9	hsa04024	--|	N
GNAI3	ADCY4	hsa04024	--|	N
CAMK4	ADCY1	hsa04024	--|	N
CAMK4	ADCY2	hsa04024	--|	N
CAMK4	ADCY3	hsa04024	--|	N
CAMK4	ADCY5	hsa04024	--|	N
CAMK4	ADCY6	hsa04024	--|	N
CAMK4	ADCY7	hsa04024	--|	N
CAMK4	ADCY8	hsa04024	--|	N
CAMK4	ADCY9	hsa04024	--|	N
CAMK4	ADCY4	hsa04024	--|	N
CAMK2A	ADCY1	hsa04024	--|	N
CAMK2A	ADCY2	hsa04024	--|	N
CAMK2A	ADCY3	hsa04024	--|	N
CAMK2A	ADCY5	hsa04024	--|	N
CAMK2A	ADCY6	hsa04024	--|	N
CAMK2A	ADCY7	hsa04024	--|	N
CAMK2A	ADCY8	hsa04024	--|	N
CAMK2A	ADCY9	hsa04024	--|	N
CAMK2A	ADCY4	hsa04024	--|	N
CAMK2B	ADCY1	hsa04024	--|	N
CAMK2B	ADCY2	hsa04024	--|	N
CAMK2B	ADCY3	hsa04024	--|	N
CAMK2B	ADCY5	hsa04024	--|	N
CAMK2B	ADCY6	hsa04024	--|	N
CAMK2B	ADCY7	hsa04024	--|	N
CAMK2B	ADCY8	hsa04024	--|	N
CAMK2B	ADCY9	hsa04024	--|	N
CAMK2B	ADCY4	hsa04024	--|	N
CAMK2D	ADCY1	hsa04024	--|	N
CAMK2D	ADCY2	hsa04024	--|	N
CAMK2D	ADCY3	hsa04024	--|	N
CAMK2D	ADCY5	hsa04024	--|	N
CAMK2D	ADCY6	hsa04024	--|	N
CAMK2D	ADCY7	hsa04024	--|	N
CAMK2D	ADCY8	hsa04024	--|	N
CAMK2D	ADCY9	hsa04024	--|	N
CAMK2D	ADCY4	hsa04024	--|	N
CAMK2G	ADCY1	hsa04024	--|	N
CAMK2G	ADCY2	hsa04024	--|	N
CAMK2G	ADCY3	hsa04024	--|	N
CAMK2G	ADCY5	hsa04024	--|	N
CAMK2G	ADCY6	hsa04024	--|	N
CAMK2G	ADCY7	hsa04024	--|	N
CAMK2G	ADCY8	hsa04024	--|	N
CAMK2G	ADCY9	hsa04024	--|	N
CAMK2G	ADCY4	hsa04024	--|	N
PPP1R1B	PPP1CA	hsa04024	--|	N
PPP1R1B	PPP1CB	hsa04024	--|	N
PPP1R1B	PPP1CC	hsa04024	--|	N
PPP1CA	CREB3	hsa04024	--|	N
PPP1CA	CREB1	hsa04024	--|	N
PPP1CA	CREB3L4	hsa04024	--|	N
PPP1CA	CREB3L2	hsa04024	--|	N
PPP1CA	CREB3L3	hsa04024	--|	N
