gene1	gene2	interaction	type	type.1
INS	INSR	hsa04010	--gt	P
INS	KIT	hsa04010	--gt	P
INS	NGFR	hsa04010	--gt	P
INS	NTRK1	hsa04010	--gt	P
INS	NTRK2	hsa04010	--gt	P
INS	PDGFRA	hsa04010	--gt	P
INS	PDGFRB	hsa04010	--gt	P
AREG	CSF1R	hsa04010	--gt	P
AREG	EPHA2	hsa04010	--gt	P
AREG	ERBB2	hsa04010	--gt	P
AREG	ERBB3	hsa04010	--gt	P
AREG	ERBB4	hsa04010	--gt	P
AREG	FGFR1	hsa04010	--gt	P
AREG	FGFR3	hsa04010	--gt	P
AREG	FGFR2	hsa04010	--gt	P
AREG	FGFR4	hsa04010	--gt	P
AREG	FLT1	hsa04010	--gt	P
AREG	FLT3	hsa04010	--gt	P
AREG	FLT4	hsa04010	--gt	P
AREG	IGF1R	hsa04010	--gt	P
AREG	INSR	hsa04010	--gt	P
AREG	KIT	hsa04010	--gt	P
AREG	NGFR	hsa04010	--gt	P
AREG	NTRK1	hsa04010	--gt	P
AREG	NTRK2	hsa04010	--gt	P
AREG	PDGFRA	hsa04010	--gt	P
AREG	PDGFRB	hsa04010	--gt	P
NGF	CSF1R	hsa04010	--gt	P
NGF	EPHA2	hsa04010	--gt	P
NGF	ERBB2	hsa04010	--gt	P
NGF	ERBB3	hsa04010	--gt	P
NGF	ERBB4	hsa04010	--gt	P
NGF	FGFR1	hsa04010	--gt	P
NGF	FGFR3	hsa04010	--gt	P
NGF	FGFR2	hsa04010	--gt	P
NGF	FGFR4	hsa04010	--gt	P
NGF	FLT1	hsa04010	--gt	P
NGF	FLT3	hsa04010	--gt	P
NGF	FLT4	hsa04010	--gt	P
NGF	IGF1R	hsa04010	--gt	P
NGF	INSR	hsa04010	--gt	P
NGF	KIT	hsa04010	--gt	P
NGF	NGFR	hsa04010	--gt	P
NGF	NTRK1	hsa04010	--gt	P
NGF	NTRK2	hsa04010	--gt	P
NGF	PDGFRA	hsa04010	--gt	P
NGF	PDGFRB	hsa04010	--gt	P
ANGPT4	CSF1R	hsa04010	--gt	P
ANGPT4	EPHA2	hsa04010	--gt	P
ANGPT4	ERBB2	hsa04010	--gt	P
ANGPT4	ERBB3	hsa04010	--gt	P
ANGPT4	ERBB4	hsa04010	--gt	P
ANGPT4	FGFR1	hsa04010	--gt	P
ANGPT4	FGFR3	hsa04010	--gt	P
ANGPT4	FGFR2	hsa04010	--gt	P
ANGPT4	FGFR4	hsa04010	--gt	P
ANGPT4	FLT1	hsa04010	--gt	P
ANGPT4	FLT3	hsa04010	--gt	P
ANGPT4	FLT4	hsa04010	--gt	P
ANGPT4	IGF1R	hsa04010	--gt	P
ANGPT4	INSR	hsa04010	--gt	P
ANGPT4	KIT	hsa04010	--gt	P
ANGPT4	NGFR	hsa04010	--gt	P
ANGPT4	NTRK1	hsa04010	--gt	P
ANGPT4	NTRK2	hsa04010	--gt	P
ANGPT4	PDGFRA	hsa04010	--gt	P
ANGPT4	PDGFRB	hsa04010	--gt	P
PDGFA	CSF1R	hsa04010	--gt	P
PDGFA	EPHA2	hsa04010	--gt	P
PDGFA	ERBB2	hsa04010	--gt	P
PDGFA	ERBB3	hsa04010	--gt	P
PDGFA	ERBB4	hsa04010	--gt	P
PDGFA	FGFR1	hsa04010	--gt	P
PDGFA	FGFR3	hsa04010	--gt	P
PDGFA	FGFR2	hsa04010	--gt	P
PDGFA	FGFR4	hsa04010	--gt	P
PDGFA	FLT1	hsa04010	--gt	P
PDGFA	FLT3	hsa04010	--gt	P
PDGFA	FLT4	hsa04010	--gt	P
PDGFA	IGF1R	hsa04010	--gt	P
PDGFA	INSR	hsa04010	--gt	P
PDGFA	KIT	hsa04010	--gt	P
PDGFA	NGFR	hsa04010	--gt	P
PDGFA	NTRK1	hsa04010	--gt	P
PDGFA	NTRK2	hsa04010	--gt	P
PDGFA	PDGFRA	hsa04010	--gt	P
PDGFA	PDGFRB	hsa04010	--gt	P
PDGFB	CSF1R	hsa04010	--gt	P
PDGFB	EPHA2	hsa04010	--gt	P
PDGFB	ERBB2	hsa04010	--gt	P
PDGFB	ERBB3	hsa04010	--gt	P
PDGFB	ERBB4	hsa04010	--gt	P
PDGFB	FGFR1	hsa04010	--gt	P
PDGFB	FGFR3	hsa04010	--gt	P
PDGFB	FGFR2	hsa04010	--gt	P
PDGFB	FGFR4	hsa04010	--gt	P
PDGFB	FLT1	hsa04010	--gt	P
PDGFB	FLT3	hsa04010	--gt	P
PDGFB	FLT4	hsa04010	--gt	P
PDGFB	IGF1R	hsa04010	--gt	P
PDGFB	INSR	hsa04010	--gt	P
PDGFB	KIT	hsa04010	--gt	P
PDGFB	NGFR	hsa04010	--gt	P
PDGFB	NTRK1	hsa04010	--gt	P
PDGFB	NTRK2	hsa04010	--gt	P
PDGFB	PDGFRA	hsa04010	--gt	P
PDGFB	PDGFRB	hsa04010	--gt	P
PGF	CSF1R	hsa04010	--gt	P
PGF	EPHA2	hsa04010	--gt	P
PGF	ERBB2	hsa04010	--gt	P
PGF	ERBB3	hsa04010	--gt	P
PGF	ERBB4	hsa04010	--gt	P
PGF	FGFR1	hsa04010	--gt	P
PGF	FGFR3	hsa04010	--gt	P
PGF	FGFR2	hsa04010	--gt	P
PGF	FGFR4	hsa04010	--gt	P
PGF	FLT1	hsa04010	--gt	P
PGF	FLT3	hsa04010	--gt	P
PGF	FLT4	hsa04010	--gt	P
PGF	IGF1R	hsa04010	--gt	P
PGF	INSR	hsa04010	--gt	P
PGF	KIT	hsa04010	--gt	P
PGF	NGFR	hsa04010	--gt	P
PGF	NTRK1	hsa04010	--gt	P
PGF	NTRK2	hsa04010	--gt	P
PGF	PDGFRA	hsa04010	--gt	P
PGF	PDGFRB	hsa04010	--gt	P
PDGFC	CSF1R	hsa04010	--gt	P
PDGFC	EPHA2	hsa04010	--gt	P
PDGFC	ERBB2	hsa04010	--gt	P
PDGFC	ERBB3	hsa04010	--gt	P
PDGFC	ERBB4	hsa04010	--gt	P
PDGFC	FGFR1	hsa04010	--gt	P
PDGFC	FGFR3	hsa04010	--gt	P
PDGFC	FGFR2	hsa04010	--gt	P
PDGFC	FGFR4	hsa04010	--gt	P
PDGFC	FLT1	hsa04010	--gt	P
PDGFC	FLT3	hsa04010	--gt	P
PDGFC	FLT4	hsa04010	--gt	P
PDGFC	IGF1R	hsa04010	--gt	P
PDGFC	INSR	hsa04010	--gt	P
PDGFC	KIT	hsa04010	--gt	P
PDGFC	NGFR	hsa04010	--gt	P
PDGFC	NTRK1	hsa04010	--gt	P
PDGFC	NTRK2	hsa04010	--gt	P
PDGFC	PDGFRA	hsa04010	--gt	P
PDGFC	PDGFRB	hsa04010	--gt	P
TGFA	CSF1R	hsa04010	--gt	P
TGFA	EPHA2	hsa04010	--gt	P
TGFA	ERBB2	hsa04010	--gt	P
TGFA	ERBB3	hsa04010	--gt	P
TGFA	ERBB4	hsa04010	--gt	P
TGFA	FGFR1	hsa04010	--gt	P
TGFA	FGFR3	hsa04010	--gt	P
TGFA	FGFR2	hsa04010	--gt	P
TGFA	FGFR4	hsa04010	--gt	P
TGFA	FLT1	hsa04010	--gt	P
TGFA	FLT3	hsa04010	--gt	P
TGFA	FLT4	hsa04010	--gt	P
TGFA	IGF1R	hsa04010	--gt	P
TGFA	INSR	hsa04010	--gt	P
TGFA	KIT	hsa04010	--gt	P
TGFA	NGFR	hsa04010	--gt	P
TGFA	NTRK1	hsa04010	--gt	P
TGFA	NTRK2	hsa04010	--gt	P
TGFA	PDGFRA	hsa04010	--gt	P
TGFA	PDGFRB	hsa04010	--gt	P
VEGFA	CSF1R	hsa04010	--gt	P
VEGFA	EPHA2	hsa04010	--gt	P
VEGFA	ERBB2	hsa04010	--gt	P
VEGFA	ERBB3	hsa04010	--gt	P
VEGFA	ERBB4	hsa04010	--gt	P
VEGFA	FGFR1	hsa04010	--gt	P
VEGFA	FGFR3	hsa04010	--gt	P
VEGFA	FGFR2	hsa04010	--gt	P
VEGFA	FGFR4	hsa04010	--gt	P
VEGFA	FLT1	hsa04010	--gt	P
VEGFA	FLT3	hsa04010	--gt	P
VEGFA	FLT4	hsa04010	--gt	P
VEGFA	IGF1R	hsa04010	--gt	P
VEGFA	INSR	hsa04010	--gt	P
VEGFA	KIT	hsa04010	--gt	P
VEGFA	NGFR	hsa04010	--gt	P
VEGFA	NTRK1	hsa04010	--gt	P
VEGFA	NTRK2	hsa04010	--gt	P
VEGFA	PDGFRA	hsa04010	--gt	P
VEGFA	PDGFRB	hsa04010	--gt	P
VEGFB	CSF1R	hsa04010	--gt	P
VEGFB	EPHA2	hsa04010	--gt	P
VEGFB	ERBB2	hsa04010	--gt	P
VEGFB	ERBB3	hsa04010	--gt	P
VEGFB	ERBB4	hsa04010	--gt	P
VEGFB	FGFR1	hsa04010	--gt	P
VEGFB	FGFR3	hsa04010	--gt	P
VEGFB	FGFR2	hsa04010	--gt	P
VEGFB	FGFR4	hsa04010	--gt	P
VEGFB	FLT1	hsa04010	--gt	P
VEGFB	FLT3	hsa04010	--gt	P
VEGFB	FLT4	hsa04010	--gt	P
VEGFB	IGF1R	hsa04010	--gt	P
VEGFB	INSR	hsa04010	--gt	P
VEGFB	KIT	hsa04010	--gt	P
VEGFB	NGFR	hsa04010	--gt	P
VEGFB	NTRK1	hsa04010	--gt	P
VEGFB	NTRK2	hsa04010	--gt	P
VEGFB	PDGFRA	hsa04010	--gt	P
VEGFB	PDGFRB	hsa04010	--gt	P
VEGFC	CSF1R	hsa04010	--gt	P
VEGFC	EPHA2	hsa04010	--gt	P
VEGFC	ERBB2	hsa04010	--gt	P
VEGFC	ERBB3	hsa04010	--gt	P
VEGFC	ERBB4	hsa04010	--gt	P
VEGFC	FGFR1	hsa04010	--gt	P
VEGFC	FGFR3	hsa04010	--gt	P
VEGFC	FGFR2	hsa04010	--gt	P
VEGFC	FGFR4	hsa04010	--gt	P
VEGFC	FLT1	hsa04010	--gt	P
VEGFC	FLT3	hsa04010	--gt	P
VEGFC	FLT4	hsa04010	--gt	P
VEGFC	IGF1R	hsa04010	--gt	P
VEGFC	INSR	hsa04010	--gt	P
VEGFC	KIT	hsa04010	--gt	P
VEGFC	NGFR	hsa04010	--gt	P
VEGFC	NTRK1	hsa04010	--gt	P
VEGFC	NTRK2	hsa04010	--gt	P
VEGFC	PDGFRA	hsa04010	--gt	P
VEGFC	PDGFRB	hsa04010	--gt	P
PDGFD	CSF1R	hsa04010	--gt	P
PDGFD	EPHA2	hsa04010	--gt	P
PDGFD	ERBB2	hsa04010	--gt	P
PDGFD	ERBB3	hsa04010	--gt	P
PDGFD	ERBB4	hsa04010	--gt	P
PDGFD	FGFR1	hsa04010	--gt	P
PDGFD	FGFR3	hsa04010	--gt	P
PDGFD	FGFR2	hsa04010	--gt	P
PDGFD	FGFR4	hsa04010	--gt	P
PDGFD	FLT1	hsa04010	--gt	P
PDGFD	FLT3	hsa04010	--gt	P
PDGFD	FLT4	hsa04010	--gt	P
PDGFD	IGF1R	hsa04010	--gt	P
PDGFD	INSR	hsa04010	--gt	P
PDGFD	KIT	hsa04010	--gt	P
PDGFD	NGFR	hsa04010	--gt	P
PDGFD	NTRK1	hsa04010	--gt	P
PDGFD	NTRK2	hsa04010	--gt	P
PDGFD	PDGFRA	hsa04010	--gt	P
PDGFD	PDGFRB	hsa04010	--gt	P
FGF23	CSF1R	hsa04010	--gt	P
FGF23	EPHA2	hsa04010	--gt	P
FGF23	ERBB2	hsa04010	--gt	P
FGF23	ERBB3	hsa04010	--gt	P
FGF23	ERBB4	hsa04010	--gt	P
FGF23	FGFR1	hsa04010	--gt	P
FGF23	FGFR3	hsa04010	--gt	P
FGF23	FGFR2	hsa04010	--gt	P
FGF23	FGFR4	hsa04010	--gt	P
FGF23	FLT1	hsa04010	--gt	P
FGF23	FLT3	hsa04010	--gt	P
FGF23	FLT4	hsa04010	--gt	P
FGF23	IGF1R	hsa04010	--gt	P
FGF23	INSR	hsa04010	--gt	P
FGF23	KIT	hsa04010	--gt	P
FGF23	NGFR	hsa04010	--gt	P
FGF23	NTRK1	hsa04010	--gt	P
FGF23	NTRK2	hsa04010	--gt	P
FGF23	PDGFRA	hsa04010	--gt	P
FGF23	PDGFRB	hsa04010	--gt	P
FGF18	CSF1R	hsa04010	--gt	P
FGF18	EPHA2	hsa04010	--gt	P
FGF18	ERBB2	hsa04010	--gt	P
FGF18	ERBB3	hsa04010	--gt	P
FGF18	ERBB4	hsa04010	--gt	P
FGF18	FGFR1	hsa04010	--gt	P
FGF18	FGFR3	hsa04010	--gt	P
FGF18	FGFR2	hsa04010	--gt	P
FGF18	FGFR4	hsa04010	--gt	P
FGF18	FLT1	hsa04010	--gt	P
FGF18	FLT3	hsa04010	--gt	P
FGF18	FLT4	hsa04010	--gt	P
FGF18	IGF1R	hsa04010	--gt	P
FGF18	INSR	hsa04010	--gt	P
FGF18	KIT	hsa04010	--gt	P
FGF18	NGFR	hsa04010	--gt	P
FGF18	NTRK1	hsa04010	--gt	P
FGF18	NTRK2	hsa04010	--gt	P
FGF18	PDGFRA	hsa04010	--gt	P
FGF18	PDGFRB	hsa04010	--gt	P
FGF17	CSF1R	hsa04010	--gt	P
FGF17	EPHA2	hsa04010	--gt	P
FGF17	ERBB2	hsa04010	--gt	P
FGF17	ERBB3	hsa04010	--gt	P
FGF17	ERBB4	hsa04010	--gt	P
FGF17	FGFR1	hsa04010	--gt	P
FGF17	FGFR3	hsa04010	--gt	P
FGF17	FGFR2	hsa04010	--gt	P
FGF17	FGFR4	hsa04010	--gt	P
FGF17	FLT1	hsa04010	--gt	P
FGF17	FLT3	hsa04010	--gt	P
FGF17	FLT4	hsa04010	--gt	P
FGF17	IGF1R	hsa04010	--gt	P
FGF17	INSR	hsa04010	--gt	P
FGF17	KIT	hsa04010	--gt	P
FGF17	NGFR	hsa04010	--gt	P
FGF17	NTRK1	hsa04010	--gt	P
FGF17	NTRK2	hsa04010	--gt	P
FGF17	PDGFRA	hsa04010	--gt	P
FGF17	PDGFRB	hsa04010	--gt	P
RRAS2	ARAF	hsa04010	--gt	P
MRAS	ARAF	hsa04010	--gt	P
HRAS	ARAF	hsa04010	--gt	P
KRAS	ARAF	hsa04010	--gt	P
NRAS	ARAF	hsa04010	--gt	P
RRAS	ARAF	hsa04010	--gt	P
ARAF	MAP2K1	hsa04010	--gt	P
ARAF	MAP2K2	hsa04010	--gt	P
MAP3K4	MAP2K3	hsa04010	--gt	P
MAP3K4	MAP2K6	hsa04010	--gt	P
TAOK3	MAP2K3	hsa04010	--gt	P
TAOK1	MAP2K3	hsa04010	--gt	P
TAOK2	MAP2K3	hsa04010	--gt	P
TAOK3	MAP2K6	hsa04010	--gt	P
TAOK1	MAP2K6	hsa04010	--gt	P
TAOK2	MAP2K6	hsa04010	--gt	P
