gene1	gene2	interaction	type	type.1
RASGRF2	MRAS	hsa04010	--gt	P
RASGRF2	HRAS	hsa04010	--gt	P
RASGRF2	KRAS	hsa04010	--gt	P
RASGRF2	NRAS	hsa04010	--gt	P
RASGRF2	RRAS	hsa04010	--gt	P
RASGRP1	RRAS2	hsa04010	--gt	P
RASGRP1	MRAS	hsa04010	--gt	P
RASGRP1	HRAS	hsa04010	--gt	P
RASGRP1	KRAS	hsa04010	--gt	P
RASGRP1	NRAS	hsa04010	--gt	P
RASGRP1	RRAS	hsa04010	--gt	P
RASGRP2	RRAS2	hsa04010	--gt	P
RASGRP2	MRAS	hsa04010	--gt	P
RASGRP2	HRAS	hsa04010	--gt	P
RASGRP2	KRAS	hsa04010	--gt	P
RASGRP2	NRAS	hsa04010	--gt	P
RASGRP2	RRAS	hsa04010	--gt	P
RASGRP4	RRAS2	hsa04010	--gt	P
RASGRP4	MRAS	hsa04010	--gt	P
RASGRP4	HRAS	hsa04010	--gt	P
RASGRP4	KRAS	hsa04010	--gt	P
RASGRP4	NRAS	hsa04010	--gt	P
RASGRP4	RRAS	hsa04010	--gt	P
RASGRP3	RRAS2	hsa04010	--gt	P
RASGRP3	MRAS	hsa04010	--gt	P
RASGRP3	HRAS	hsa04010	--gt	P
RASGRP3	KRAS	hsa04010	--gt	P
RASGRP3	NRAS	hsa04010	--gt	P
RASGRP3	RRAS	hsa04010	--gt	P
RAP1A	BRAF	hsa04010	--gt	P
RAP1B	BRAF	hsa04010	--gt	P
TNF	TNFRSF1A	hsa04010	--gt	P
IL1B	IL1R1	hsa04010	--gt	P
IL1B	IL1RAP	hsa04010	--gt	P
FASLG	FAS	hsa04010	--gt	P
TGFB1	TGFBR1	hsa04010	--gt	P
TGFB1	TGFBR2	hsa04010	--gt	P
TGFB2	TGFBR1	hsa04010	--gt	P
TGFB2	TGFBR2	hsa04010	--gt	P
TGFB3	TGFBR1	hsa04010	--gt	P
TGFB3	TGFBR2	hsa04010	--gt	P
FAS	DAXX	hsa04010	--gt	P
TGFBR1	DAXX	hsa04010	--gt	P
TGFBR2	DAXX	hsa04010	--gt	P
GRB2	CSF1R	hsa04010	---	C
GRB2	EPHA2	hsa04010	---	C
GRB2	ERBB2	hsa04010	---	C
GRB2	ERBB3	hsa04010	---	C
GRB2	ERBB4	hsa04010	---	C
GRB2	FGFR1	hsa04010	---	C
GRB2	FGFR3	hsa04010	---	C
GRB2	FGFR2	hsa04010	---	C
GRB2	FGFR4	hsa04010	---	C
GRB2	FLT1	hsa04010	---	C
GRB2	FLT3	hsa04010	---	C
GRB2	FLT4	hsa04010	---	C
GRB2	IGF1R	hsa04010	---	C
GRB2	INSR	hsa04010	---	C
GRB2	KIT	hsa04010	---	C
GRB2	NGFR	hsa04010	---	C
GRB2	NTRK1	hsa04010	---	C
GRB2	NTRK2	hsa04010	---	C
GRB2	PDGFRA	hsa04010	---	C
GRB2	PDGFRB	hsa04010	---	C
SOS1	GRB2	hsa04010	---	C
SOS2	GRB2	hsa04010	---	C
TAB2	TRAF6	hsa04010	---	C
ECSIT	TRAF6	hsa04010	---	C
SRF	ELK1	hsa04010	---	C
SRF	ELK4	hsa04010	---	C
LAMTOR3	MAP2K1	hsa04010	---	C
LAMTOR3	MAP2K2	hsa04010	---	C
MAPK1	LAMTOR3	hsa04010	---	C
MAPK3	LAMTOR3	hsa04010	---	C
MAPK8IP2	MAPK8	hsa04010	---	C
MAPK8IP2	MAPK9	hsa04010	---	C
MAPK8IP2	MAPK10	hsa04010	---	C
MAPK8IP1	MAPK8	hsa04010	---	C
MAPK8IP1	MAPK9	hsa04010	---	C
MAPK8IP1	MAPK10	hsa04010	---	C
MAPK8IP2	MAP2K7	hsa04010	---	C
MAPK8IP1	MAP2K7	hsa04010	---	C
MAPK8IP2	MAP3K11	hsa04010	---	C
MAPK8IP1	MAP3K11	hsa04010	---	C
MAPK8IP2	MAP4K1	hsa04010	---	C
MAPK8IP1	MAP4K1	hsa04010	---	C
MAPK8	MAPK8IP3	hsa04010	---	C
MAPK9	MAPK8IP3	hsa04010	---	C
MAPK10	MAPK8IP3	hsa04010	---	C
MAP2K4	MAPK8IP3	hsa04010	---	C
MAP2K7	MAPK8IP3	hsa04010	---	C
MAPK8IP3	MAP3K1	hsa04010	---	C
MAP3K11	MAPK8IP3	hsa04010	---	C
MAPK8	CRK	hsa04010	---	C
MAPK8	CRKL	hsa04010	---	C
MAPK9	CRK	hsa04010	---	C
MAPK9	CRKL	hsa04010	---	C
MAPK10	CRK	hsa04010	---	C
MAPK10	CRKL	hsa04010	---	C
MAP2K4	CRK	hsa04010	---	C
MAP2K4	CRKL	hsa04010	---	C
MAP2K4	FLNA	hsa04010	---	C
MAP2K4	FLNB	hsa04010	---	C
MAP2K4	ARRB1	hsa04010	---	C
MAP2K4	ARRB2	hsa04010	---	C
PRKACA	RAP1A	hsa04010	+p	M
PRKACA	RAP1B	hsa04010	+p	M
PRKACB	RAP1A	hsa04010	+p	M
PRKACB	RAP1B	hsa04010	+p	M
PRKACG	RAP1A	hsa04010	+p	M
PRKACG	RAP1B	hsa04010	+p	M
PRKCA	RRAS2	hsa04010	+p	M
PRKCA	MRAS	hsa04010	+p	M
PRKCA	HRAS	hsa04010	+p	M
PRKCA	KRAS	hsa04010	+p	M
PRKCA	NRAS	hsa04010	+p	M
PRKCA	RRAS	hsa04010	+p	M
PRKCB	RRAS2	hsa04010	+p	M
PRKCB	MRAS	hsa04010	+p	M
PRKCB	HRAS	hsa04010	+p	M
PRKCB	KRAS	hsa04010	+p	M
PRKCB	NRAS	hsa04010	+p	M
PRKCB	RRAS	hsa04010	+p	M
PRKCG	RRAS2	hsa04010	+p	M
PRKCG	MRAS	hsa04010	+p	M
PRKCG	HRAS	hsa04010	+p	M
PRKCG	KRAS	hsa04010	+p	M
